Grand Jaggi;50;10;0;1;10;5;5;10
Grand Jagras;50;12;0;2;40;5;10;20
Rathalos;75;15;0;5;250;62;15;50
Rathian;200;30;5;10;1000;62;30;100
Lagiacrus;350;50;10;15;2250;62;60;150
Astalos;500;75;15;20;4000;62;90;200
Mizutsune;650;75;20;25;6250;62;120;300
Glavenus;800;100;25;30;9000;62;90;400
Brachydios;950;125;30;35;12250;62;90;500
Teostra;1100;150;45;40;16000;62;150;600
Kushala Daora;1250;175;40;45;20250;62;175;700
Rajang;1500;200;45;50;25000;62;200;800
Rajang Orage;1750;200;75;55;30250;62;200;900
Alatreon;2000;250;20;75;60;36000;215;1000
Fatalis;3000;350;100;65;42250;250;1250;
